pregunta,a,b,c,d,correcta
¿Cuál es el estándar adoptado en Venezuela para TDA?,DVB-T,ATSC,ISDB-Tb,DTMB,c
¿Qué técnica de modulación utiliza el sistema ISDB-Tb?,QAM Directa,COFDM,8-VSB,SSB,b
¿Qué ancho de banda ocupa un canal de TDA en Venezuela?,6 MHz,7 MHz,8 MHz,10 MHz,a
¿Qué middleware permite la interactividad en el estándar?,JavaTV,MHP,Ginga,Flash Player,c
¿Cuál es la relación de aspecto estándar para HD en TDA?,4:3,16:9,21:9,1:1,b
¿Qué tipo de compresión de video se usa en la TDA local?,MPEG-2,H.263,H.264 (MPEG-4 AVC),HEVC,c
¿Cómo se denomina al flujo de datos que transporta video y audio?,Stream de Bit,Transport Stream (TS),Data Pipe,Multiplex,b
¿A qué se le llama canal Tabú en TV analógica?,Que tranmite canales de adultos,Que impide usar canales adyacentes superior e inferior,Que no se pueden otorgar por intereses cruzados,Que son prohibidos por la UIT en Ginebra,b
¿A qué separación del inicio de canal se ubica la portadora de luminancia en TV analógica?,1.0 MHz.,1.5 MHz,1.25 MHz,1.75 MHz,c
¿Cuál es el valor de la frecuencia central de la portadora de color del canal 33 UHF?,588 MHz,558.58 MHz,585.85 MHz,588.83 MHz,d
Si la portadora de video (luminancia) de un canal es 753.25 MHz ¿Cuál será el valor de la frecuencia de la portadora de audio?,757.75 MHz,775.77 MHz,777.77 MHz,755.55 MHz,a
Las señales de color se componen de los colores R G y B ¿En qué proporción se cuantifica la luminancia Y con respecto a R/G/B?,30/59/11,51/29/30,30/51/29,11/30/29,a
¿Cuál es la constitución en binario R/G/B del color magenta?,1/1/1,1/0/1,0/1/1,1/0/0,b
